6,9,36,41,31,26,3,28,10,10,0,29,24,21,22,5,2,38,6,6,54,24,9,8,5,3,7,19,5,6,3,3,3,3,23,40,2,30,4,27,4,6,6,2,19,21,32,6,1,39,3,2,3,1,6,11,9,21,6,3,7,28,24,19,3,28,29,27,5,4,28,36,5,24,12,21,39,19,7,2,29,46,8,4,17,12,2,1,5,47,24,2,29,28,1,30,31,4,3,5,3,0,4,2,29,29,2,3,24,44,3,15,26,25,5,0,7,6,25,3,14,27,28,46,6,20,5,8,30,10,24,3,33,6,8,1,5,4,23,20,32,32,4,26,1,29,4,6,5,9,40,5,3,5,2,19,5,2,5,30,34,19,27,8,39,37,23,0,5,10,3,0,30,26,7,40,5,1,23,5,29,38,5,33,24,19,35,3,32,31,17,4,5,6,28,15,33,8,30,53,7,16,6,5,36,10,9,23,4
6,6,4,5,5,7,23,5,20,2,3,13,29,20,37,23,7,23,15,1,4,5,21,5,44,5,30,6,4,2,0,29,8,6,8,50,36,0,6,30,7,3,28,2,3,3,31,1,19,7,25,5,29,3,4,19,23,5,1,4,5,27,7,24,5,7,34,2,29,7,35,4,36,3,3,0,29,20,7,29,6,29,28,37,14,14,30,2,34,20,1,33,7,4,34,21,8,0,22,1,4,1,33,57,6,7,29,28,8,12,8,18,21,21,8,2,29,25,29,2,1,16,7,11,36,6,17,41,4,38,6,6,26,27,17,5,30,3,27,32,44,0,10,39,24,2,22,26,32,23,33,5,5,34,43,21,26,4,8,7,32,8,5,28,26,2,2,25,3,18,2,5,7,21,2,3,34,11,23,12,1,33,28,3,31,5,3,19,8,31,15,16,3,26,35,8,0,1,8,37,33,5,1,37,4,8,5,10,5
27,5,17,10,6,5,3,6,34,3,3,8,45,7,27,31,1,39,6,9,20,11,24,22,22,29,2,9,1,4,23,39,13,17,10,29,4,40,24,25,4,26,4,8,25,4,18,5,5,43,0,7,30,22,1,3,0,5,1,28,1,27,24,39,3,25,8,1,5,23,6,48,31,7,32,4,5,1,0,43,26,6,32,45,0,39,9,28,30,23,3,25,4,31,33,37,6,1,31,18,47,6,5,9,9,2,23,6,1,3,24,16,34,31,33,24,6,2,19,6,4,12,5,1,17,8,25,7,34,28,0,37,2,21,28,6,4,3,2,5,6,41,4,3,0,4,5,6,3,9,7,8,3,21,3,3,10,6,30,24,2,0,32,3,10,26,4,35,27,2,7,36,23,30,2,0,7,7,5,7,3,40,5,25,6,0,40,20,39,16,20,3,4,5,3,6,31,26,14,20,22,16,39,27,18,33,6,0,29
6,22,5,5,4,20,8,4,1,15,1,7,3,48,39,7,8,18,29,37,29,3,7,6,5,10,2,1,2,7,6,5,3,5,19,24,5,24,21,36,5,21,5,5,15,0,33,17,4,4,0,15,3,4,3,3,27,3,2,33,35,6,21,5,32,5,22,3,6,20,43,1,4,22,16,4,1,1,29,39,28,25,5,26,5,6,0,32,23,25,23,14,31,3,4,36,19,32,44,29,7,5,4,6,2,24,8,26,10,34,29,42,33,42,41,3,32,3,37,26,20,32,24,4,23,46,2,48,33,22,5,22,33,30,32,31,23,4,26,0,42,2,5,2,21,27,5,17,36,46,14,4,20,3,8,29,26,10,10,7,7,7,6,36,36,6,30,7,4,22,5,4,35,5,3,6,26,32,8,18,3,30,5,39,20,28,9,6,36,53,4,1,35,12,27,19,10,7,5,1,1,34,27,2,26,21,7,20,6
21,34,32,38,27,1,3,7,5,37,3,2,0,30,29,37,3,28,18,28,7,5,0,5,4,5,8,7,37,4,26,22,31,3,31,27,5,0,32,21,38,24,5,44,2,28,5,5,8,4,28,17,4,9,5,4,23,24,34,37,52,0,28,0,17,4,19,38,4,1,0,25,3,5,31,3,22,3,4,4,33,11,1,30,5,1,6,48,6,4,49,9,29,6,38,22,5,0,2,0,7,3,30,7,4,1,7,38,25,32,3,1,7,1,37,11,19,42,2,31,5,5,29,5,7,15,42,18,8,6,29,6,39,3,6,6,34,5,4,6,4,5,5,21,2,10,2,6,5,32,2,1,4,5,29,7,7,5,15,7,6,4,27,22,0,8,1,21,34,4,3,44,7,5,5,32,24,8,17,37,2,30,0,27,9,0,35,34,24,27,4,3,39,27,30,7,39,42,34,0,22,6,3,33,3,25,4,4,1
33,8,10,32,5,28,0,5,4,4,2,10,35,2,23,8,8,5,18,8,3,27,1,3,37,33,5,2,2,37,0,2,8,19,6,12,7,3,23,35,3,27,36,32,24,6,4,24,7,35,4,23,7,4,10,2,20,6,37,32,7,3,3,0,24,41,3,3,25,7,16,20,5,28,5,4,17,29,31,5,33,8,6,36,32,3,8,4,33,30,1,31,33,20,35,2,7,3,5,1,14,2,48,6,39,2,55,29,3,5,54,9,36,7,1,5,30,3,37,2,21,7,7,6,10,37,5,23,7,12,2,7,30,42,3,27,5,2,4,6,42,30,7,3,32,7,0,30,34,5,5,7,21,7,32,4,25,6,6,35,37,7,1,30,22,34,35,6,6,8,25,20,31,9,6,17,24,3,7,11,34,25,24,36,6,39,5,6,7,20,28,28,44,30,39,3,8,9,21,33,1,1,29,35,0,7,5,54,5
15,17,1,7,5,35,34,3,29,33,6,7,0,25,7,43,2,41,5,40,52,25,5,6,5,8,3,39,5,8,47,8,6,27,36,8,1,44,5,21,37,23,50,3,37,5,23,5,7,3,34,6,4,7,34,1,7,5,3,4,3,32,27,6,26,0,40,3,5,6,4,4,29,21,5,8,36,31,4,4,35,33,37,7,6,6,2,29,7,5,2,6,7,7,5,1,2,24,6,3,6,32,3,34,44,7,31,28,28,0,1,5,27,33,7,5,30,22,39,16,0,6,31,7,7,6,4,5,2,3,5,31,4,8,36,5,4,0,33,8,6,36,6,32,1,4,3,9,13,27,2,54,41,28,4,35,3,24,7,4,6,27,36,35,31,4,3,2,20,5,2,6,5,5,28,7,37,34,29,22,32,28,27,25,0,10,6,9,4,5,41,7,3,5,7,6,34,9,5,6,3,3,2,32,7,45,3,8,0
39,39,8,16,27,17,3,47,35,36,1,6,21,28,4,4,39,13,8,0,22,12,36,2,43,5,3,49,23,39,45,7,6,34,3,7,2,4,4,40,6,41,12,5,4,4,35,4,1,43,4,2,8,3,8,37,46,28,7,4,4,19,4,15,36,14,35,7,4,6,34,2,8,25,23,4,13,40,6,4,26,3,4,5,3,24,43,7,11,30,42,31,32,17,5,22,6,13,4,23,1,35,43,36,37,27,32,28,5,6,5,5,21,5,41,25,29,26,31,36,5,4,1,5,3,8,4,7,4,8,3,37,0,31,36,6,2,5,8,26,25,23,20,29,32,33,8,17,35,26,2,7,3,7,37,27,27,4,0,31,7,5,5,38,7,19,14,37,31,5,25,18,20,1,4,6,30,21,35,6,3,4,39,1,18,3,7,4,26,36,5,7,35,37,25,11,6,43,15,9,1,15,4,33,17,34,8,16,20
27,5,35,1,5,22,2,4,1,14,3,6,2,32,3,39,33,3,7,3,2,6,9,5,8,3,34,5,6,21,11,5,27,5,42,42,26,4,3,7,8,37,3,5,2,4,3,4,6,41,4,39,50,51,7,47,8,44,27,24,3,33,28,49,0,5,4,7,4,4,1,42,6,5,23,32,40,29,7,3,1,2,1,5,8,2,8,1,5,2,29,7,4,25,6,6,5,4,0,41,3,32,7,2,30,20,5,28,6,30,36,18,19,2,2,53,2,3,27,2,2,5,49,5,31,1,58,2,7,10,2,33,4,32,14,1,32,34,1,37,26,3,8,8,4,5,23,8,10,32,40,28,5,9,30,31,42,39,31,4,3,11,6,23,7,4,43,23,4,7,6,3,18,8,19,7,27,34,33,3,3,1,46,5,3,29,7,25,35,5,3,4,4,4,8,20,31,42,21,41,47,4,18,42,39,0,5,6,46
5,4,5,4,9,25,6,4,24,6,5,42,8,37,9,1,25,12,20,5,2,2,8,32,2,3,5,7,3,42,8,33,5,31,28,40,1,7,4,2,5,4,22,24,39,0,6,47,7,5,22,26,32,8,5,27,23,25,18,1,9,17,34,34,4,7,6,4,4,30,2,5,8,3,3,24,3,25,11,40,31,5,22,4,0,41,33,2,28,8,6,26,32,27,4,33,4,7,11,4,25,3,20,31,4,37,4,12,36,17,19,3,24,31,5,22,1,1,49,14,2,41,1,30,8,34,36,6,27,6,5,38,5,17,5,11,4,16,1,3,5,2,25,17,4,4,37,5,3,3,6,35,9,19,25,42,19,27,11,2,41,1,0,6,21,4,9,2,29,6,3,3,0,17,3,5,36,21,7,6,5,4,37,38,5,24,4,3,8,3,23,4,18,33,11,41,0,2,4,5,2,10,6,35,26,7,9,21,5
5,36,39,4,7,8,9,8,8,53,5,20,6,30,3,17,3,29,2,30,2,32,9,35,6,39,21,3,10,38,39,32,6,41,33,6,31,32,34,3,23,45,6,6,31,7,2,5,1,1,0,32,3,34,7,14,4,1,36,39,4,5,3,1,5,24,4,4,0,24,4,4,46,5,34,9,5,34,3,5,3,4,0,34,3,27,34,5,1,38,3,5,3,34,6,1,31,1,3,2,0,0,4,23,2,7,2,5,5,6,4,6,6,6,1,22,7,1,7,2,45,36,13,3,26,30,34,3,3,4,5,25,41,1,3,2,6,7,3,50,3,1,22,19,39,7,6,3,3,25,27,8,41,28,20,2,1,24,5,3,27,39,4,24,29,6,7,5,2,6,8,25,25,1,3,31,36,28,2,9,9,36,39,7,23,32,6,6,3,7,5,14,30,37,5,33,4,9,6,5,38,20,33,3,44,22,1,52,6
28,4,21,26,4,2,5,26,9,25,6,15,5,18,1,7,1,4,7,32,3,3,20,8,51,6,2,8,33,20,32,31,6,5,0,11,9,31,37,6,29,29,4,42,36,3,32,33,5,35,20,37,3,3,29,3,17,38,5,38,6,5,7,5,5,9,5,9,3,4,9,34,19,37,23,5,27,20,17,30,18,38,35,4,5,6,27,2,32,2,35,29,3,36,2,3,36,20,25,24,1,28,8,18,9,3,1,4,18,3,5,5,7,43,35,2,7,28,4,24,3,8,7,4,28,36,27,32,5,6,26,12,33,47,22,2,43,33,37,25,46,5,5,21,9,30,3,3,1,8,32,6,25,4,42,14,17,29,36,38,31,6,9,3,5,31,19,24,29,29,8,42,39,3,36,5,6,0,0,21,33,1,3,5,3,5,3,3,33,2,3,7,48,38,6,7,5,33,30,22,4,24,21,7,6,23,1,43,40
42,5,26,3,26,25,22,30,14,6,26,38,9,5,5,5,8,4,33,3,4,31,4,31,12,8,2,18,6,36,30,3,30,2,16,3,6,6,6,28,3,8,5,8,18,4,4,25,21,2,19,26,4,14,36,6,36,0,5,1,35,40,6,21,7,7,7,41,8,3,1,20,41,4,13,3,26,33,33,9,1,4,30,30,3,2,25,29,3,22,27,26,2,8,32,33,16,8,7,43,2,30,4,5,34,5,28,38,6,5,6,25,4,5,0,6,25,20,23,4,5,8,0,40,22,34,27,4,7,4,11,1,28,25,35,29,7,2,33,20,28,2,7,8,1,43,53,27,29,5,3,5,1,1,24,49,43,1,37,3,30,3,7,5,31,0,8,10,19,4,5,5,32,15,6,47,5,4,35,6,8,47,33,8,1,23,22,32,27,6,30,31,23,6,7,10,32,5,7,3,4,35,7,3,4,8,4,6,37
1,48,33,9,3,2,47,5,4,7,6,0,4,30,6,16,23,3,6,7,23,4,6,6,0,9,37,19,39,16,29,34,5,5,35,3,3,18,40,2,5,16,23,36,24,4,23,7,0,2,26,9,0,28,4,7,33,4,8,38,21,2,2,1,5,0,7,6,10,3,20,6,23,39,40,3,20,28,23,3,6,36,25,4,6,33,27,3,14,40,5,33,10,16,41,4,4,2,3,6,5,42,9,10,5,2,6,54,29,7,34,0,8,35,3,35,3,43,4,4,29,27,5,12,6,42,0,6,41,3,7,3,4,8,2,23,10,10,39,32,4,30,6,29,22,34,6,38,7,12,4,38,30,3,9,4,35,5,2,4,7,37,38,28,8,30,27,5,6,7,34,7,32,27,3,5,6,7,2,0,30,6,31,4,25,35,38,19,12,20,24,7,27,6,35,6,1,10,24,30,31,15,2,28,5,5,2,26,27
23,3,28,7,25,5,3,0,26,18,3,27,2,4,6,36,39,2,8,4,3,32,37,5,40,0,25,26,6,6,1,26,7,35,17,4,17,1,20,7,2,31,1,29,4,20,10,5,2,2,39,28,21,26,37,33,40,4,20,5,22,39,3,22,31,4,39,29,2,27,26,6,20,37,18,3,36,0,9,5,1,22,28,2,7,4,4,6,6,4,36,9,0,6,6,2,4,37,20,3,21,22,2,7,4,25,5,27,20,32,3,9,2,0,44,5,3,3,16,31,25,28,4,22,25,21,4,4,6,4,22,5,6,4,5,5,10,8,30,8,1,3,5,9,4,23,40,3,36,21,18,3,27,9,10,7,34,43,24,4,5,24,42,6,44,18,25,9,30,29,32,7,5,17,1,9,19,31,37,8,27,40,8,30,3,4,0,9,3,46,6,24,5,20,22,1,24,51,3,2,36,1,6,26,35,20,27,27,32
7,5,8,6,4,25,15,3,6,5,26,9,0,5,28,23,5,26,4,2,17,9,36,45,34,35,25,4,8,5,8,30,4,30,40,3,35,27,4,23,26,4,6,26,4,4,51,29,5,0,7,4,5,4,38,49,20,6,26,8,4,22,5,7,28,10,34,8,6,6,4,3,7,37,6,4,44,33,26,8,1,3,39,18,33,25,6,7,2,7,18,6,7,30,26,3,30,41,24,31,3,27,7,5,23,40,5,30,5,8,6,6,9,4,21,6,30,5,2,5,7,3,3,21,2,28,2,3,47,0,4,27,32,38,3,27,36,28,22,5,32,5,7,6,20,1,10,10,3,20,30,33,6,0,8,4,20,2,25,23,39,38,20,29,36,33,21,6,3,4,2,37,6,3,4,4,41,6,11,33,30,38,54,4,0,45,3,43,29,40,32,26,24,18,4,39,1,4,42,4,31,0,40,4,4,4,16,1,8
16,5,32,1,28,28,4,7,40,34,2,5,4,26,2,6,37,7,5,17,0,3,5,28,0,26,38,5,22,31,0,4,3,6,25,7,25,4,2,9,4,25,5,27,35,16,31,38,32,6,5,3,3,2,45,4,34,4,4,6,10,23,40,7,4,35,2,7,3,5,22,25,35,5,24,2,36,5,23,3,5,47,8,16,4,41,7,24,36,13,6,41,0,7,6,5,0,2,26,27,31,35,2,13,2,23,24,7,30,1,1,2,3,5,21,46,24,3,1,33,27,19,5,5,3,9,4,4,41,5,8,5,4,29,9,32,4,24,3,8,26,26,14,3,1,3,26,35,30,3,7,34,14,24,4,19,2,42,1,9,4,22,3,8,4,23,23,37,31,31,28,35,1,8,0,26,6,0,3,23,32,16,2,25,7,8,3,37,33,4,14,17,12,3,2,32,5,1,32,6,7,23,7,20,3,29,4,7,7
0,8,5,5,29,4,3,38,2,2,7,5,35,30,4,6,37,2,6,31,6,2,34,5,32,5,15,6,30,23,24,1,27,7,40,23,4,5,6,7,44,5,12,8,5,23,3,2,19,0,7,7,29,5,4,5,13,2,21,24,6,26,26,5,7,3,31,34,41,4,0,2,5,8,5,7,6,27,5,0,28,6,2,3,6,2,10,8,2,2,7,5,4,7,4,25,9,4,41,38,2,5,10,16,26,6,6,3,35,7,3,44,6,33,11,5,9,24,26,5,6,4,44,9,57,21,4,0,25,31,5,3,7,39,22,4,8,0,32,19,7,28,42,34,31,45,42,36,4,7,23,49,7,39,39,43,7,7,2,32,9,1,7,14,37,27,6,27,34,29,3,0,36,6,46,5,45,45,9,24,8,4,31,0,5,42,3,36,26,39,7,4,5,15,21,7,3,5,5,5,42,41,23,6,23,12,4,38,5
0,6,6,16,2,6,0,7,33,9,26,25,1,33,18,25,3,4,7,52,5,27,28,29,7,50,2,37,2,40,1,6,3,26,9,2,5,28,4,18,5,34,4,29,35,22,23,6,25,9,33,32,5,30,7,51,29,7,25,4,5,38,5,41,3,9,19,11,12,5,2,19,24,4,20,2,36,27,2,25,2,20,2,6,7,11,42,5,38,7,29,27,20,3,1,25,31,43,4,4,11,22,5,5,7,7,16,29,27,8,6,10,0,7,1,41,29,33,9,4,7,8,29,30,6,19,25,8,26,25,2,50,2,5,7,16,20,0,8,3,5,7,23,5,25,7,35,6,28,31,0,6,29,8,28,37,44,2,28,33,20,5,0,34,5,12,37,29,0,5,36,22,19,28,5,2,25,15,24,18,0,40,7,40,5,36,2,31,8,28,7,22,13,6,39,10,5,2,0,8,24,38,24,0,0,3,5,34,4
4,7,33,1,18,27,4,4,1,3,6,37,24,6,21,17,6,2,32,30,6,3,12,23,3,5,23,5,1,34,35,7,8,8,7,0,5,30,8,26,25,13,20,4,6,6,4,33,6,3,30,29,6,5,17,3,6,37,37,28,37,2,4,28,34,37,25,3,4,38,27,33,34,55,31,6,23,7,24,43,28,4,29,35,2,23,4,28,42,28,1,40,0,7,29,5,4,2,1,30,5,20,3,28,33,2,31,18,2,7,30,5,10,16,0,8,19,4,5,4,14,2,15,7,24,0,3,8,2,18,35,7,33,30,4,22,35,4,8,17,18,22,5,35,28,8,6,9,28,6,35,3,45,4,19,30,11,2,27,0,1,40,41,2,6,24,6,2,38,20,35,37,25,3,16,33,23,3,30,34,7,0,4,30,3,9,4,33,6,29,4,9,25,27,35,1,0,4,4,8,5,20,26,6,7,36,19,0,1
1,3,14,0,23,29,30,21,9,46,3,32,29,23,6,33,38,30,46,8,4,24,31,1,0,0,30,21,29,26,2,7,10,3,19,25,29,32,3,33,7,37,24,9,22,3,1,29,34,33,4,7,35,3,1,8,26,35,3,5,9,4,38,34,27,8,2,26,20,3,5,21,27,6,6,6,44,20,7,31,30,40,24,21,10,6,36,43,33,8,7,10,27,14,30,1,17,23,26,4,1,5,6,9,37,35,2,4,29,9,18,26,3,7,31,25,5,4,22,24,1,35,5,0,5,28,4,19,3,5,7,5,26,2,6,17,1,34,18,5,20,25,27,6,63,8,1,2,43,31,3,5,38,2,5,5,9,24,39,24,9,45,1,39,2,2,7,30,5,8,3,6,3,7,18,1,5,1,6,29,3,25,6,36,3,33,5,6,5,8,2,4,4,21,29,3,18,6,25,28,1,6,14,7,3,45,5,21,28
7,25,37,38,3,4,4,10,1,11,39,17,23,28,6,33,5,4,28,30,36,31,4,32,17,4,33,28,4,18,6,46,17,7,18,22,29,22,41,15,6,31,4,4,26,0,4,16,26,29,2,37,4,28,43,6,24,28,34,37,7,0,0,6,24,17,4,3,22,22,8,35,5,1,2,31,3,24,24,25,0,3,1,7,6,32,36,8,7,12,5,29,20,8,20,3,15,31,3,5,24,17,6,6,29,36,3,4,12,7,8,34,40,2,2,1,3,32,36,3,2,4,4,3,4,35,2,29,28,6,30,1,2,23,30,4,4,4,33,25,5,22,30,18,44,4,3,5,1,16,29,2,2,33,19,35,23,4,5,38,21,42,41,23,0,7,2,2,24,6,42,7,3,30,4,6,5,6,33,4,3,4,4,31,5,5,0,4,4,44,7,4,1,3,4,21,2,26,6,42,42,5,3,32,20,50,3,6,29
5,5,7,30,5,1,25,18,7,30,3,39,3,3,0,5,21,4,4,32,35,6,12,4,45,13,40,29,21,10,3,8,1,43,37,25,24,49,29,1,27,20,8,9,4,2,3,4,1,0,20,8,5,33,26,33,6,9,30,1,4,15,2,4,9,15,38,5,37,1,24,5,5,31,3,4,5,6,7,36,6,2,5,6,20,34,4,10,5,6,5,4,6,22,17,23,4,7,16,29,11,0,40,21,6,1,33,35,27,3,25,26,7,5,35,35,35,17,25,20,37,28,28,27,6,32,6,10,10,25,4,24,28,7,5,23,4,12,4,31,5,20,8,5,22,0,32,6,4,22,32,24,30,3,21,28,24,10,3,34,6,20,32,4,5,40,41,35,38,19,29,37,6,8,6,30,7,22,29,30,25,30,41,20,31,35,2,3,5,1,22,3,43,9,7,19,5,4,26,21,1,29,20,33,29,9,7,2,8
22,37,26,49,2,5,8,3,31,6,6,29,34,22,35,10,45,26,3,6,33,2,5,35,19,28,0,6,27,6,6,5,19,8,28,37,0,16,6,25,30,3,3,10,36,3,3,38,3,0,54,5,30,24,3,0,12,6,4,20,3,25,3,30,5,3,37,23,3,0,35,5,2,23,29,5,1,32,19,28,7,5,26,24,38,4,10,7,7,17,5,1,30,3,42,32,1,5,5,33,3,31,8,0,5,26,7,4,3,31,32,6,32,6,6,6,24,3,4,5,34,5,35,4,24,6,4,8,32,37,4,32,7,3,39,27,4,39,2,32,28,27,48,26,21,5,25,2,31,16,5,10,4,2,9,19,17,5,21,5,26,26,28,9,4,16,26,21,42,30,4,39,2,22,0,19,31,23,6,8,6,43,4,7,3,35,40,27,7,43,38,4,20,32,10,4,21,3,1,23,8,22,31,38,4,0,27,26,3
50,33,3,30,16,20,5,1,28,28,8,20,4,5,18,6,12,4,5,27,11,9,24,20,1,28,32,32,4,0,35,35,5,46,26,31,24,37,35,24,4,5,2,7,25,37,4,24,9,21,19,5,5,27,38,5,38,17,4,37,26,5,26,5,21,3,7,1,16,18,7,26,32,42,8,4,6,3,5,35,34,6,5,35,13,0,6,3,1,11,34,2,6,31,4,29,2,4,18,2,26,2,6,3,4,2,3,15,10,7,19,5,1,6,37,1,13,42,3,8,41,0,37,4,33,4,1,5,2,4,27,47,22,33,41,8,2,31,3,23,22,19,7,21,3,8,25,9,12,7,10,35,26,17,28,1,20,25,46,41,27,3,7,26,1,1,3,5,6,33,21,5,37,6,0,3,35,1,5,23,7,23,7,6,3,5,4,8,3,2,2,31,42,41,7,29,4,24,28,38,37,45,5,29,43,5,4,7,35
